Instance Type,Memory,VCPU
t2.micro,1,"1 "
m3.medium,3,"1 "
t2.small,2,"1 "
m1.medium,3,"1 "
m1.small,1,"1 "
t1.micro,0,"1 "
t2.nano,0,"1 "
i3en.3xlarge,96,"12 "
z1d.3xlarge,96,"12 "
m5zn.3xlarge,48,"12 "
x2idn.32xlarge,2048,"128 "
c6i.32xlarge,256,"128 "
i4i.32xlarge,1024,"128 "
m6id.32xlarge,512,"128 "
x2iedn.32xlarge,4096,"128 "
c6id.32xlarge,256,"128 "
i4i.metal,1024,"128 "
c6id.metal,256,"128 "
m6id.metal,512,"128 "
r6i.metal,1024,"128 "
r6a.32xlarge,1024,"128 "
x2idn.metal,2048,"128 "
m6a.32xlarge,512,"128 "
c6a.32xlarge,256,"128 "
m6i.metal,512,"128 "
r6id.32xlarge,1024,"128 "
x1.32xlarge,1952,"128 "
x1e.32xlarge,3904,"128 "
x2iedn.metal,4096,"128 "
c6i.metal,256,"128 "
r6id.metal,1024,"128 "
r6i.32xlarge,1024,"128 "
m6i.32xlarge,512,"128 "
c5ad.4xlarge,32,"16 "
r4.4xlarge,122,"16 "
m5n.4xlarge,64,"16 "
d3en.4xlarge,64,"16 "
c5a.4xlarge,32,"16 "
r5.4xlarge,128,"16 "
r5b.4xlarge,128,"16 "
d2.4xlarge,122,"16 "
m5ad.4xlarge,64,"16 "
d3.4xlarge,128,"16 "
m5d.4xlarge,64,"16 "
r5a.4xlarge,128,"16 "
r3.4xlarge,122,"16 "
r5ad.4xlarge,128,"16 "
hs1.8xlarge,117,"16 "
g5.4xlarge,64,"16 "
g3.4xlarge,122,"16 "
g4ad.4xlarge,64,"16 "
g4dn.4xlarge,64,"16 "
m5a.4xlarge,64,"16 "
i4i.4xlarge,128,"16 "
r6id.4xlarge,128,"16 "
r5d.4xlarge,128,"16 "
m6i.4xlarge,64,"16 "
c5d.4xlarge,32,"16 "
r5n.4xlarge,128,"16 "
c6id.4xlarge,32,"16 "
c6i.4xlarge,32,"16 "
x2iezn.4xlarge,512,"16 "
i2.4xlarge,122,"16 "
m4.4xlarge,64,"16 "
x2iedn.4xlarge,512,"16 "
m5dn.4xlarge,64,"16 "
r5dn.4xlarge,128,"16 "
r6i.4xlarge,128,"16 "
c5n.4xlarge,42,"16 "
