Instance Type,Version,Edition,VCPU,Memory,Bandwidth,IOPS,Throughput,Size,Class,RDSCustom,current,ratio,instanceType
db.r5.8xlarge  ,15,EE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5.8xlarge  ,15,SE,32,256,6800,30000,850,8xlarge,r5,Y,Y,8,M
db.r5b.8xlarge ,12,EE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,12,SE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,13,EE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,13,SE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,14,EE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,14,SE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,15,EE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5b.8xlarge ,15,SE,32,256,20000,65000,2500,8xlarge,r5b,N,Y,8,M
db.r5d.8xlarge ,12,EE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,12,SE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,13,EE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,13,SE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,14,EE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,14,SE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,15,EE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r5d.8xlarge ,15,SE,32,256,6800,30000,850,8xlarge,r5d,N,Y,8,M
db.r6i.8xlarge  ,12,EE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,12,SE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,13,EE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,13,SE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,14,EE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,14,SE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,15,EE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.r6i.8xlarge  ,15,SE,32,256,10000,40000,1250,8xlarge,r6i,N,Y,8,M
db.x1e.8xlarge ,12,EE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,12,SE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,13,EE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,13,SE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,14,EE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,14,SE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,15,EE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.x1e.8xlarge ,15,SE,32,976,3500,20000,438,8xlarge,x1e,N,Y,30,M
db.m5.12xlarge ,12,EE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,12,SE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,13,EE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,13,SE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,14,EE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,14,SE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,15,EE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5.12xlarge ,15,SE,48,192,9500,40000,1188,12xlarge,m5,Y,Y,4,G
db.m5d.12xlarge,12,EE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,12,SE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,13,EE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,13,SE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,14,EE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,14,SE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,15,EE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m5d.12xlarge,15,SE,48,192,9500,40000,1188,12xlarge,m5d,N,Y,4,G
db.m6i.12xlarge ,12,EE,48,192,15000,60000,1875,12xlarge,m6i,N,Y,4,G
db.m6i.12xlarge ,13,EE,48,192,15000,60000,1875,12xlarge,m6i,N,Y,4,G
db.m6i.12xlarge ,14,EE,48,192,15000,60000,1875,12xlarge,m6i,N,Y,4,G
db.m6i.12xlarge ,15,EE,48,192,15000,60000,1875,12xlarge,m6i,N,Y,4,G
db.r5.12xlarge ,12,EE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,12,SE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,13,EE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,13,SE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,14,EE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,14,SE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,15,EE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5.12xlarge ,15,SE,48,384,9500,40000,1188,12xlarge,r5,Y,Y,8,M
db.r5b.12xlarge,12,EE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,12,SE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,13,EE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,13,SE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,14,EE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,14,SE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,15,EE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5b.12xlarge,15,SE,48,384,30000,65000,3750,12xlarge,r5b,N,Y,8,M
db.r5d.12xlarge,12,EE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,12,SE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,13,EE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,13,SE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,14,EE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,14,SE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,15,EE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r5d.12xlarge,15,SE,48,384,9500,40000,1188,12xlarge,r5d,N,Y,8,M
db.r6i.12xlarge ,12,EE,48,384,15000,60000,1875,12xlarge,r6i,N,Y,8,M
db.r6i.12xlarge ,13,EE,48,384,15000,60000,1875,12xlarge,r6i,N,Y,8,M
db.r6i.12xlarge ,14,EE,48,384,15000,60000,1875,12xlarge,r6i,N,Y,8,M
