Instance Type,Version,Edition,VCPU,Memory,Bandwidth,IOPS,Throughput,Size,Class,RDSCustom,current,ratio,instanceType
db.m6i.2xlarge  ,14,SE,8,32,10000,40000,1250,2xlarge,m6i,N,Y,4,G
db.m6i.2xlarge  ,15,EE,8,32,10000,40000,1250,2xlarge,m6i,N,Y,4,G
db.m6i.2xlarge  ,15,SE,8,32,10000,40000,1250,2xlarge,m6i,N,Y,4,G
db.r5.2xlarge  ,12,EE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,12,SE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,13,EE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,13,SE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,14,EE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,14,SE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,15,EE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5.2xlarge  ,15,SE,8,64,4750,18750,594,2xlarge,r5,Y,Y,8,M
db.r5b.2xlarge ,12,EE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,12,SE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,13,EE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,13,SE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,14,EE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,14,SE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,15,EE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5b.2xlarge ,15,SE,8,64,10000,43333,1250,2xlarge,r5b,N,Y,8,M
db.r5d.2xlarge ,12,EE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,12,SE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,13,EE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,13,SE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,14,EE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,14,SE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,15,EE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r5d.2xlarge ,15,SE,8,64,4750,18750,594,2xlarge,r5d,N,Y,8,M
db.r6i.2xlarge  ,12,EE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,12,SE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,13,EE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,13,SE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,14,EE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,14,SE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,15,EE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.r6i.2xlarge  ,15,SE,8,64,10000,40000,1250,2xlarge,r6i,N,Y,8,M
db.t3.2xlarge  ,12,EE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,12,SE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,13,EE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,13,SE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,14,EE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,14,SE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,15,EE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.t3.2xlarge  ,15,SE,8,32,2780,15700,348,2xlarge,t3,N,Y,4,G
db.x1e.2xlarge ,12,EE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,12,SE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,13,EE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,13,SE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,14,EE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,14,SE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,15,EE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.x1e.2xlarge ,15,SE,8,244,1000,7400,125,2xlarge,x1e,N,Y,30,M
db.z1d.2xlarge ,13,EE,8,64,3170,13333,396,2xlarge,z1d,N,Y,8,M
db.z1d.2xlarge ,13,SE,8,64,3170,13333,396,2xlarge,z1d,N,Y,8,M
db.z1d.2xlarge ,14,EE,8,64,3170,13333,396,2xlarge,z1d,N,Y,8,M
db.z1d.2xlarge ,14,SE,8,64,3170,13333,396,2xlarge,z1d,N,Y,8,M
db.z1d.2xlarge ,15,EE,8,64,3170,13333,396,2xlarge,z1d,N,Y,8,M
db.z1d.2xlarge ,15,SE,8,64,3170,13333,396,2xlarge,z1d,N,Y,8,M
db.z1d.3xlarge ,13,EE,12,96,4750,20000,594,3xlarge,z1d,N,Y,8,M
db.z1d.3xlarge ,13,SE,12,96,4750,20000,594,3xlarge,z1d,N,Y,8,M
db.z1d.3xlarge ,14,EE,12,96,4750,20000,594,3xlarge,z1d,N,Y,8,M
db.z1d.3xlarge ,14,SE,12,96,4750,20000,594,3xlarge,z1d,N,Y,8,M
db.z1d.3xlarge ,15,EE,12,96,4750,20000,594,3xlarge,z1d,N,Y,8,M
db.z1d.3xlarge ,15,SE,12,96,4750,20000,594,3xlarge,z1d,N,Y,8,M
db.m5.4xlarge  ,12,EE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,12,SE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,13,EE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,13,SE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,14,EE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,14,SE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,15,EE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5.4xlarge  ,15,SE,16,64,4750,18750,594,4xlarge,m5,Y,Y,4,G
db.m5d.4xlarge ,12,EE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,12,SE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,13,EE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,13,SE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,14,EE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,14,SE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,15,EE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m5d.4xlarge ,15,SE,16,64,4750,18750,594,4xlarge,m5d,N,Y,4,G
db.m6i.4xlarge  ,12,EE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,12,SE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,13,EE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,13,SE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,14,EE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,14,SE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,15,EE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.m6i.4xlarge  ,15,SE,16,64,10000,40000,1250,4xlarge,m6i,N,Y,4,G
db.r5.4xlarge  ,12,EE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,12,SE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,13,EE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,13,SE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,14,EE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,14,SE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,15,EE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5.4xlarge  ,15,SE,16,128,4750,18750,594,4xlarge,r5,Y,Y,8,M
db.r5b.4xlarge ,12,EE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,12,SE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,13,EE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,13,SE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,14,EE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,14,SE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,15,EE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5b.4xlarge ,15,SE,16,128,10000,43333,1250,4xlarge,r5b,N,Y,8,M
db.r5d.4xlarge ,12,EE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,12,SE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,13,EE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,13,SE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,14,EE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,14,SE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,15,EE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r5d.4xlarge ,15,SE,16,128,4750,18750,594,4xlarge,r5d,N,Y,8,M
db.r6i.4xlarge  ,12,EE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,12,SE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,13,EE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,13,SE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,14,EE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,14,SE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,15,EE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.r6i.4xlarge  ,15,SE,16,128,10000,40000,1250,4xlarge,r6i,N,Y,8,M
db.x1e.4xlarge ,12,EE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,12,SE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,13,EE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,13,SE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,14,EE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,14,SE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,15,EE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.x1e.4xlarge ,15,SE,16,488,1750,10000,219,4xlarge,x1e,N,Y,30,M
db.z1d.6xlarge ,13,EE,24,192,9500,40000,1188,6xlarge,z1d,N,Y,8,M
db.z1d.6xlarge ,13,SE,24,192,9500,40000,1188,6xlarge,z1d,N,Y,8,M
db.z1d.6xlarge ,14,EE,24,192,9500,40000,1188,6xlarge,z1d,N,Y,8,M
